Instance,Terminal,Layer,X location,Y location,Voltage
output51,VGND,li1,33.5800,43.5200,0.000008
output50,VGND,li1,36.8000,43.5200,0.000008
output49,VGND,li1,39.1000,38.0800,0.000004
output48,VGND,li1,37.2600,38.0800,0.000004
output47,VGND,li1,33.5800,10.8800,0.000006
output46,VGND,li1,38.1800,10.8800,0.000006
output45,VGND,li1,30.3600,10.8800,0.000006
output44,VGND,li1,39.1000,38.0800,0.000004
output43,VGND,li1,39.1000,43.5200,0.000008
output42,VGND,li1,9.6600,43.5200,0.000008
output41,VGND,li1,39.1000,27.2000,0.000003
output40,VGND,li1,39.1000,21.7600,0.000003
output39,VGND,li1,7.8200,43.5200,0.000008
output38,VGND,li1,9.6600,38.0800,0.000005
output37,VGND,li1,7.8200,38.0800,0.000005
output36,VGND,li1,7.8200,27.2000,0.000003
output35,VGND,li1,7.8200,27.2000,0.000003
output34,VGND,li1,14.2600,10.8800,0.000006
output33,VGND,li1,9.6600,27.2000,0.000003
output32,VGND,li1,39.1000,16.3200,0.000006
output31,VGND,li1,37.2600,16.3200,0.000006
input30,VGND,li1,23.6900,10.8800,0.000004
input29,VGND,li1,11.2700,21.7600,0.000003
input28,VGND,li1,30.1300,16.3200,0.000005
input27,VGND,li1,26.9100,10.8800,0.000005
input26,VGND,li1,16.7900,16.3200,0.000005
input25,VGND,li1,14.0300,21.7600,0.000003
input24,VGND,li1,12.6500,21.7600,0.000003
input23,VGND,li1,15.8700,43.5200,0.000007
input22,VGND,li1,17.2500,43.5200,0.000007
input21,VGND,li1,9.2000,10.8800,0.000006
input20,VGND,li1,7.5900,38.0800,0.000005
input19,VGND,li1,35.1900,43.5200,0.000008
input18,VGND,li1,28.7500,43.5200,0.000007
input17,VGND,li1,22.3100,43.5200,0.000006
input16,VGND,li1,25.5300,43.5200,0.000006
input15,VGND,li1,31.0500,16.3200,0.000005
input14,VGND,li1,34.2700,21.7600,0.000002
input13,VGND,li1,36.1100,21.7600,0.000003
input12,VGND,li1,39.3300,43.5200,0.000008
input11,VGND,li1,39.3300,32.6400,0.000001
input10,VGND,li1,39.3300,32.6400,0.000001
input9,VGND,li1,32.4300,16.3200,0.000005
input8,VGND,li1,11.7300,38.0800,0.000005
input7,VGND,li1,7.5900,32.6400,0.000001
input6,VGND,li1,10.3500,38.0800,0.000005
input5,VGND,li1,8.9700,38.0800,0.000005
input4,VGND,li1,7.5900,21.7600,0.000003
input3,VGND,li1,7.5900,21.7600,0.000003
input2,VGND,li1,15.8700,10.8800,0.000006
input1,VGND,li1,14.0300,16.3200,0.000006
TAP_TAPCELL_ROW_12_40,VGND,li1,31.5100,43.8110,0.000007
TAP_TAPCELL_ROW_12_39,VGND,li1,18.6300,43.8110,0.000007
TAP_TAPCELL_ROW_11_38,VGND,li1,31.5100,43.2280,0.000007
TAP_TAPCELL_ROW_10_37,VGND,li1,18.6300,38.3710,0.000004
