Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_5_34,VGND,li1,21.6200,27.2000,0.000004
FILLER_5_31,VGND,li1,20.4700,27.2000,0.000004
FILLER_5_28,VGND,li1,19.0900,27.2000,0.000004
FILLER_5_15,VGND,li1,13.1100,27.2000,0.000004
FILLER_5_12,VGND,li1,11.7300,27.2000,0.000004
FILLER_5_9,VGND,li1,10.3500,27.2000,0.000004
FILLER_5_6,VGND,li1,8.9700,27.2000,0.000004
FILLER_4_93,VGND,li1,48.5300,21.7600,0.000008
FILLER_4_82,VGND,li1,43.7000,21.7600,0.000008
FILLER_4_74,VGND,li1,39.7900,21.7600,0.000007
FILLER_4_71,VGND,li1,38.8700,21.7600,0.000007
FILLER_4_68,VGND,li1,37.4900,21.7600,0.000007
FILLER_4_52,VGND,li1,29.6700,21.7600,0.000005
FILLER_4_29,VGND,li1,19.5500,21.7600,0.000004
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000004
FILLER_4_24,VGND,li1,17.2500,21.7600,0.000004
FILLER_4_21,VGND,li1,15.8700,21.7600,0.000004
FILLER_4_18,VGND,li1,14.4900,21.7600,0.000004
FILLER_4_15,VGND,li1,13.1100,21.7600,0.000004
FILLER_4_12,VGND,li1,11.7300,21.7600,0.000004
FILLER_4_9,VGND,li1,10.3500,21.7600,0.000004
FILLER_4_6,VGND,li1,8.9700,21.7600,0.000004
FILLER_4_3,VGND,li1,7.5900,21.7600,0.000004
FILLER_3_100,VGND,li1,51.9800,21.7600,0.000008
FILLER_3_92,VGND,li1,48.5300,21.7600,0.000008
FILLER_3_75,VGND,li1,40.2500,21.7600,0.000007
FILLER_3_57,VGND,li1,32.2000,21.7600,0.000006
FILLER_3_45,VGND,li1,26.9100,21.7600,0.000004
FILLER_3_30,VGND,li1,19.5500,21.7600,0.000004
FILLER_3_27,VGND,li1,18.6300,21.7600,0.000004
FILLER_3_24,VGND,li1,17.2500,21.7600,0.000004
FILLER_3_21,VGND,li1,15.8700,21.7600,0.000004
FILLER_3_18,VGND,li1,14.4900,21.7600,0.000004
FILLER_3_15,VGND,li1,13.1100,21.7600,0.000004
FILLER_3_12,VGND,li1,11.7300,21.7600,0.000004
FILLER_3_9,VGND,li1,10.3500,21.7600,0.000004
FILLER_3_6,VGND,li1,8.9700,21.7600,0.000004
FILLER_3_3,VGND,li1,7.5900,21.7600,0.000004
FILLER_2_100,VGND,li1,51.7500,16.3200,0.000005
FILLER_2_97,VGND,li1,50.8300,16.3200,0.000005
FILLER_2_94,VGND,li1,49.4500,16.3200,0.000005
FILLER_2_91,VGND,li1,48.0700,16.3200,0.000005
FILLER_2_88,VGND,li1,46.6900,16.3200,0.000005
FILLER_2_85,VGND,li1,45.3100,16.3200,0.000005
FILLER_2_82,VGND,li1,43.7000,16.3200,0.000005
FILLER_2_74,VGND,li1,39.7900,16.3200,0.000005
FILLER_2_71,VGND,li1,38.8700,16.3200,0.000005
FILLER_2_58,VGND,li1,32.4300,16.3200,0.000004
FILLER_2_49,VGND,li1,28.7500,16.3200,0.000004
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000004
FILLER_2_24,VGND,li1,17.2500,16.3200,0.000004
FILLER_2_21,VGND,li1,15.8700,16.3200,0.000004
FILLER_2_18,VGND,li1,14.4900,16.3200,0.000004
FILLER_2_15,VGND,li1,13.1100,16.3200,0.000004
FILLER_2_12,VGND,li1,11.7300,16.3200,0.000004
FILLER_2_9,VGND,li1,10.3500,16.3200,0.000004
FILLER_2_6,VGND,li1,8.9700,16.3200,0.000004
FILLER_2_3,VGND,li1,7.5900,16.3200,0.000004
FILLER_1_103,VGND,li1,53.3600,16.3200,0.000005
FILLER_1_100,VGND,li1,52.2100,16.3200,0.000005
FILLER_1_97,VGND,li1,50.8300,16.3200,0.000005
